id,monster_name,description,element,growth_type,base_model_path,part_head,part_back,part_tail,palette_index,scale_x,scale_y,scale_z,base_max_hp,base_max_mp,base_attack,base_defense,base_magic,base_speed,hunger_rate,energy_rate,favorite_food,evolution_ids,evolution_level
13,ゴーレムピクシー,【第1形態】ゴーレムピクシー。古代より伝わるゴーレムの力を宿すモンスター。,5,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,4,1.01,1.01,1.01,68,40,27,24,23,25,1.1,1.11,1,213,15
14,ゲイルポロン,【第1形態】ゲイルポロン。古代より伝わるゲイルの力を宿すモンスター。,6,2,res://assets/models/bases/base_floating.tscn,,,,5,0.99,0.99,0.99,65,38,27,25,22,25,1.19,1.1,2,214,15
15,シャインベア,【第1形態】シャインベア。古代より伝わるシャインの力を宿すモンスター。,7,0,res://assets/models/bases/base_quadruped.tscn,,,,14,1.0,1.0,1.0,62,36,26,22,32,19,1.02,1.11,3,215,15
16,カオスモコ,【第1形態】カオスモコ。古代より伝わるカオスの力を宿すモンスター。,8,1,res://assets/models/bases/base_quadruped.tscn,,,,7,1.0,1.0,1.0,61,41,32,25,26,18,1.17,1.15,0,216,15
17,バーンゴブ,【第1形態】バーンゴブ。古代より伝わるバーンの力を宿すモンスター。,1,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,0,1.03,1.03,1.03,65,35,28,21,23,18,1.09,1.13,1,217,15
18,ハイドロダイナ,【第1形態】ハイドロダイナ。古代より伝わるハイドロの力を宿すモンスター。,2,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,9,1.04,1.04,1.04,69,39,25,25,27,21,1.01,1.04,2,218,15
19,シルフバット,【第1形態】シルフバット。古代より伝わるシルフの力を宿すモンスター。,3,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_dragon.tscn,,2,1.04,1.04,1.04,77,35,27,27,27,24,1.16,0.98,3,219,15
20,ライトニペガサス,【第1形態】ライトニペガサス。古代より伝わるライトニの力を宿すモンスター。,4,2,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horn_single.tscn,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,3,0.98,0.98,0.98,62,37,23,21,25,23,0.83,1.05,0,220,15
21,アースビースト,【第1形態】アースビースト。古代より伝わるアースの力を宿すモンスター。,5,0,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,12,0.98,0.98,0.98,61,37,24,27,26,24,0.89,0.85,1,221,15
22,エアロタートル,【第1形態】エアロタートル。古代より伝わるエアロの力を宿すモンスター。,6,1,res://assets/models/bases/base_quadruped.tscn,,,,5,1.03,1.03,1.03,70,41,32,21,29,27,0.88,0.84,2,222,15
23,ルミナスナイト,【第1形態】ルミナスナイト。古代より伝わるルミナスの力を宿すモンスター。,7,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,6,0.99,0.99,0.99,67,38,30,20,28,17,0.96,0.94,3,223,15
24,ネクロコブラ,【第1形態】ネクロコブラ。古代より伝わるネクロの力を宿すモンスター。,8,0,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,15,1.03,1.03,1.03,64,35,30,25,28,23,0.87,0.99,0,224,15
25,サラマンコロ,【第1形態】サラマンコロ。古代より伝わるサラマンの力を宿すモンスター。,1,1,res://assets/models/bases/base_biped.tscn,,,,0,1.03,1.03,1.03,62,39,29,18,22,18,1.17,1.14,1,225,15
26,リヴァイワイバーン,【第1形態】リヴァイワイバーン。古代より伝わるリヴァイの力を宿すモンスター。,2,2,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,1,0.97,0.97,0.97,68,44,26,24,25,19,0.95,1.19,2,226,15
27,ウッドフォックス,【第1形態】ウッドフォックス。古代より伝わるウッドの力を宿すモンスター。,3,0,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,10,0.98,0.98,0.98,81,39,27,27,29,19,0.88,0.89,3,227,15
28,スパークキマイラ,【第1形態】スパークキマイラ。古代より伝わるスパークの力を宿すモンスター。,4,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,3,0.96,0.96,0.96,72,40,23,23,22,23,1.03,1.0,0,228,15
29,クエイクレクス,【第1形態】クエイクレクス。古代より伝わるクエイクの力を宿すモンスター。,5,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,4,1.03,1.03,1.03,63,32,24,26,23,18,1.07,0.89,1,229,15
30,ストームファング,【第1形態】ストームファング。古代より伝わるストームの力を宿すモンスター。,6,0,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,13,0.97,0.97,0.97,70,35,25,19,28,29,0.93,0.9,2,230,15
31,セラフタモ,【第1形態】セラフタモ。古代より伝わるセラフの力を宿すモンスター。,7,1,res://assets/models/bases/base_biped.tscn,,,,6,1.01,1.01,1.01,66,35,27,26,29,21,0.98,1.17,3,231,15
32,アビスピクシー,【第1形態】アビスピクシー。古代より伝わるアビスの力を宿すモンスター。,8,2,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,7,1.03,1.03,1.03,61,39,28,19,29,25,0.91,1.17,0,232,15
33,クリムゾンポロン,【第1形態】クリムゾンポロン。古代より伝わるクリムゾンの力を宿すモンスター。,1,0,res://assets/models/bases/base_floating.tscn,,,,8,1.03,1.03,1.03,64,37,32,20,29,25,1.08,1.04,1,233,15
34,タイダルベア,【第1形態】タイダルベア。古代より伝わるタイダルの力を宿すモンスター。,2,1,res://assets/models/bases/base_quadruped.tscn,,,,1,1.04,1.04,1.04,71,45,23,22,26,19,0.91,1.16,2,234,15
35,ブルームモコ,【第1形態】ブルームモコ。古代より伝わるブルームの力を宿すモンスター。,3,2,res://assets/models/bases/base_quadruped.tscn,,,,2,1.02,1.02,1.02,71,36,27,24,27,20,1.07,1.14,3,235,15
36,エレクトラホーン,【第1形態】エレクトラホーン。古代より伝わるエレクトラの力を宿すモンスター。,4,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,,11,1.0,1.0,1.0,65,32,24,24,26,23,0.8,1.11,0,236,15
37,グランモグ,【第1形態】グランモグ。古代より伝わるグランの力を宿すモンスター。,5,1,res://assets/models/bases/base_biped.tscn,,,,4,1.01,1.01,1.01,65,34,30,30,22,18,0.83,1.15,1,237,15
38,ゼファーバード,【第1形態】ゼファーバード。古代より伝わるゼファーの力を宿すモンスター。,6,2,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,5,1.03,1.03,1.03,69,32,30,20,28,23,0.82,0.95,2,238,15
39,オーラグリフ,【第1形態】オーラグリフ。古代より伝わるオーラの力を宿すモンスター。,7,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,14,1.03,1.03,1.03,61,37,26,23,28,22,1.11,1.15,3,239,15
40,ファントムタイガー,【第1形態】ファントムタイガー。古代より伝わるファントムの力を宿すモンスター。,8,1,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,7,0.99,0.99,0.99,70,34,30,20,28,23,0.81,1.09,0,240,15
41,ヴォルカガル,【第1形態】ヴォルカガル。古代より伝わるヴォルカの力を宿すモンスター。,1,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horn_single.tscn,,res://assets/models/parts/tail_spike.tscn,0,0.99,0.99,0.99,67,35,32,20,23,23,1.15,1.14,1,241,15
42,オーシャンリッチ,【第1形態】オーシャンリッチ。古代より伝わるオーシャンの力を宿すモンスター。,2,0,res://assets/models/bases/base_biped.tscn,,,,9,0.98,0.98,0.98,68,42,27,21,28,17,1.06,0.96,2,242,15
43,ドリアードコブラ,【第1形態】ドリアードコブラ。古代より伝わるドリアードの力を宿すモンスター。,3,1,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,2,0.98,0.98,0.98,70,36,28,27,27,17,0.85,1.19,3,243,15
44,ライデンコロ,【第1形態】ライデンコロ。古代より伝わるライデンの力を宿すモンスター。,4,2,res://assets/models/bases/base_biped.tscn,,,,3,0.97,0.97,0.97,65,32,24,24,27,28,0.97,1.19,0,244,15
45,ストーンワイバーン,【第1形態】ストーンワイバーン。古代より伝わるストーンの力を宿すモンスター。,5,0,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,12,0.97,0.97,0.97,70,35,27,24,28,17,1.01,1.12,1,245,15
46,テンペストフォックス,【第1形態】テンペストフォックス。古代より伝わるテンペストの力を宿すモンスター。,6,1,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,5,1.01,1.01,1.01,72,35,30,24,23,26,1.05,1.07,2,246,15
47,グローリーキマイラ,【第1形態】グローリーキマイラ。古代より伝わるグローリーの力を宿すモンスター。,7,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,6,0.97,0.97,0.97,65,40,27,26,32,23,1.08,1.02,3,247,15
48,ノワールナイト,【第1形態】ノワールナイト。古代より伝わるノワールの力を宿すモンスター。,8,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,15,0.98,0.98,0.98,71,38,29,22,32,25,1.13,0.92,0,248,15
49,ヒートクロウ,【第1形態】ヒートクロウ。古代より伝わるヒートの力を宿すモンスター。,1,1,res://assets/models/bases/base_biped.tscn,,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,0,0.98,0.98,0.98,73,41,33,25,29,24,1.07,1.0,1,249,15
50,フロストノッコ,【第1形態】フロストノッコ。古代より伝わるフロストの力を宿すモンスター。,2,2,res://assets/models/bases/base_biped.tscn,,,,1,1.02,1.02,1.02,73,39,24,22,30,18,1.13,1.1,2,250,15
51,モスフェアリー,【第1形態】モスフェアリー。古代より伝わるモスの力を宿すモンスター。,3,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,10,1.01,1.01,1.01,72,35,25,21,22,20,1.19,1.04,3,251,15
52,プラズマパピー,【第1形態】プラズマパピー。古代より伝わるプラズマの力を宿すモンスター。,4,1,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,3,1.02,1.02,1.02,68,38,26,24,29,29,0.9,1.06,0,252,15
53,テラケルベ,【第1形態】テラケルベ。古代より伝わるテラの力を宿すモンスター。,5,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,4,0.96,0.96,0.96,73,33,29,27,24,25,0.99,1.02,1,253,15
54,ファルコンドラコ,【第1形態】ファルコンドラコ。古代より伝わるファルコンの力を宿すモンスター。,6,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,13,1.03,1.03,1.03,62,39,27,25,27,28,1.05,1.09,2,254,15
55,セレスホーン,【第1形態】セレスホーン。古代より伝わるセレスの力を宿すモンスター。,7,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,,6,1.0,1.0,1.0,69,39,25,27,34,21,1.1,1.14,3,255,15
56,ドゥームモグ,【第1形態】ドゥームモグ。古代より伝わるドゥームの力を宿すモンスター。,8,2,res://assets/models/bases/base_biped.tscn,,,,7,0.98,0.98,0.98,73,40,34,21,30,24,0.83,0.91,0,256,15
57,イグニスバード,【第1形態】イグニスバード。古代より伝わるイグニスの力を宿すモンスター。,1,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,8,0.98,0.98,0.98,66,40,29,20,24,20,0.95,0.86,1,257,15
58,シレーヌグリフ,【第1形態】シレーヌグリフ。古代より伝わるシレーヌの力を宿すモンスター。,2,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,1,0.98,0.98,0.98,67,43,28,25,31,17,0.88,0.97,2,258,15
59,トレントタイガー,【第1形態】トレントタイガー。古代より伝わるトレントの力を宿すモンスター。,3,2,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,2,1.03,1.03,1.03,78,32,29,28,22,22,0.92,0.96,3,259,15
60,ジゴワットモコ,【第1形態】ジゴワットモコ。古代より伝わるジゴワットの力を宿すモンスター。,4,0,res://assets/models/bases/base_quadruped.tscn,,,,11,1.03,1.03,1.03,67,40,26,25,25,27,0.97,0.81,0,260,15
61,バサルトゴブ,【第1形態】バサルトゴブ。古代より伝わるバサルトの力を宿すモンスター。,5,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,4,0.99,0.99,0.99,71,38,25,31,24,25,0.81,0.96,1,261,15
62,スカイダイナ,【第1形態】スカイダイナ。古代より伝わるスカイの力を宿すモンスター。,6,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,5,1.01,1.01,1.01,61,33,31,20,29,23,0.82,0.95,2,262,15
63,ソレイユバット,【第1形態】ソレイユバット。古代より伝わるソレイユの力を宿すモンスター。,7,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_dragon.tscn,,14,0.98,0.98,0.98,66,37,29,24,33,21,1.13,0.99,3,263,15
64,シャドウペガサス,【第1形態】シャドウペガサス。古代より伝わるシャドウの力を宿すモンスター。,8,1,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horn_single.tscn,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,7,1.02,1.02,1.02,61,37,30,19,26,17,1.18,0.88,0,264,15
65,フレイムビースト,【第1形態】フレイムビースト。古代より伝わるフレイムの力を宿すモンスター。,1,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,0,0.96,0.96,0.96,63,35,30,25,23,20,0.99,0.9,1,265,15
66,アクアタートル,【第1形態】アクアタートル。古代より伝わるアクアの力を宿すモンスター。,2,0,res://assets/models/bases/base_quadruped.tscn,,,,9,0.99,0.99,0.99,70,46,24,20,29,18,1.03,1.17,2,266,15
67,リーフナイト,【第1形態】リーフナイト。古代より伝わるリーフの力を宿すモンスター。,3,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,2,1.01,1.01,1.01,75,38,26,22,25,18,1.08,0.92,3,267,15
68,サンダークロウ,【第1形態】サンダークロウ。古代より伝わるサンダーの力を宿すモンスター。,4,2,res://assets/models/bases/base_biped.tscn,,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,3,1.01,1.01,1.01,73,33,23,23,28,28,0.83,1.06,0,268,15
69,ガイアノッコ,【第1形態】ガイアノッコ。古代より伝わるガイアの力を宿すモンスター。,5,0,res://assets/models/bases/base_biped.tscn,,,,12,0.96,0.96,0.96,67,39,24,30,27,24,1.08,0.97,1,269,15
70,ウインドフェアリー,【第1形態】ウインドフェアリー。古代より伝わるウインドの力を宿すモンスター。,6,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,5,1.02,1.02,1.02,71,36,32,25,28,25,0.93,0.9,2,270,15
71,ホーリーパピー,【第1形態】ホーリーパピー。古代より伝わるホーリーの力を宿すモンスター。,7,2,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,6,1.03,1.03,1.03,65,39,26,27,33,22,0.81,1.14,3,271,15
72,ダークキマイラ,【第1形態】ダークキマイラ。古代より伝わるダークの力を宿すモンスター。,8,0,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,15,0.97,0.97,0.97,64,37,31,23,30,21,1.02,1.01,0,272,15
73,マグマレクス,【第1形態】マグマレクス。古代より伝わるマグマの力を宿すモンスター。,1,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,0,0.98,0.98,0.98,64,38,35,21,29,24,0.98,0.81,1,273,15
74,マリンファング,【第1形態】マリンファング。古代より伝わるマリンの力を宿すモンスター。,2,2,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,1,0.98,0.98,0.98,67,40,27,23,32,25,1.01,0.97,2,274,15
75,フォレストタモ,【第1形態】フォレストタモ。古代より伝わるフォレストの力を宿すモンスター。,3,0,res://assets/models/bases/base_biped.tscn,,,,10,1.02,1.02,1.02,74,37,30,25,26,21,0.89,1.09,3,275,15
76,ボルトピクシー,【第1形態】ボルトピクシー。古代より伝わるボルトの力を宿すモンスター。,4,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,3,0.99,0.99,0.99,72,40,25,21,25,30,0.91,1.04,0,276,15
77,ゴーレムポロン,【第1形態】ゴーレムポロン。古代より伝わるゴーレムの力を宿すモンスター。,5,2,res://assets/models/bases/base_floating.tscn,,,,4,1.02,1.02,1.02,70,36,24,27,26,20,0.94,0.92,1,277,15
78,ゲイルベア,【第1形態】ゲイルベア。古代より伝わるゲイルの力を宿すモンスター。,6,0,res://assets/models/bases/base_quadruped.tscn,,,,13,1.02,1.02,1.02,63,36,25,18,26,23,1.06,1.1,2,278,15
79,シャインモコ,【第1形態】シャインモコ。古代より伝わるシャインの力を宿すモンスター。,7,1,res://assets/models/bases/base_quadruped.tscn,,,,6,0.97,0.97,0.97,61,41,27,27,34,24,0.94,1.19,3,279,15
80,カオスゴブ,【第1形態】カオスゴブ。古代より伝わるカオスの力を宿すモンスター。,8,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,7,0.98,0.98,0.98,68,33,28,24,33,18,1.03,1.07,0,280,15
81,バーンダイナ,【第1形態】バーンダイナ。古代より伝わるバーンの力を宿すモンスター。,1,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,8,0.97,0.97,0.97,73,41,32,19,25,18,1.02,0.97,1,281,15
82,ハイドロバット,【第1形態】ハイドロバット。古代より伝わるハイドロの力を宿すモンスター。,2,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_dragon.tscn,,1,1.01,1.01,1.01,70,40,29,25,32,21,1.14,1.2,2,282,15
83,シルフペガサス,【第1形態】シルフペガサス。古代より伝わるシルフの力を宿すモンスター。,3,2,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horn_single.tscn,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,2,0.98,0.98,0.98,78,32,24,24,25,21,1.06,0.86,3,283,15
84,ライトニタイガー,【第1形態】ライトニタイガー。古代より伝わるライトニの力を宿すモンスター。,4,0,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,11,0.97,0.97,0.97,62,34,23,24,29,30,0.92,0.89,0,284,15
85,アースガル,【第1形態】アースガル。古代より伝わるアースの力を宿すモンスター。,5,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horn_single.tscn,,res://assets/models/parts/tail_spike.tscn,4,1.02,1.02,1.02,72,39,24,27,26,20,0.97,1.02,1,285,15
86,エアロリッチ,【第1形態】エアロリッチ。古代より伝わるエアロの力を宿すモンスター。,6,2,res://assets/models/bases/base_biped.tscn,,,,5,1.01,1.01,1.01,65,34,26,18,24,25,1.04,1.13,2,286,15
87,ルミナスコブラ,【第1形態】ルミナスコブラ。古代より伝わるルミナスの力を宿すモンスター。,7,0,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,14,1.03,1.03,1.03,68,33,30,24,33,21,1.0,1.0,3,287,15
88,ネクロコロ,【第1形態】ネクロコロ。古代より伝わるネクロの力を宿すモンスター。,8,1,res://assets/models/bases/base_biped.tscn,,,,7,0.97,0.97,0.97,61,38,32,22,26,18,0.89,1.07,0,288,15
89,サラマンワイバーン,【第1形態】サラマンワイバーン。古代より伝わるサラマンの力を宿すモンスター。,1,2,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,0,1.03,1.03,1.03,70,32,32,18,24,24,1.01,0.98,1,289,15
90,リヴァイフォックス,【第1形態】リヴァイフォックス。古代より伝わるリヴァイの力を宿すモンスター。,2,0,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,9,0.98,0.98,0.98,70,43,30,19,32,22,0.96,0.93,2,290,15
91,ウッドキマイラ,【第1形態】ウッドキマイラ。古代より伝わるウッドの力を宿すモンスター。,3,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,2,0.97,0.97,0.97,71,37,29,28,26,23,1.13,1.02,3,291,15
92,スパークレクス,【第1形態】スパークレクス。古代より伝わるスパークの力を宿すモンスター。,4,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,3,1.0,1.0,1.0,66,36,28,19,28,31,1.13,0.8,0,292,15
93,クエイクファング,【第1形態】クエイクファング。古代より伝わるクエイクの力を宿すモンスター。,5,0,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,12,1.03,1.03,1.03,68,38,23,27,27,24,1.05,1.1,1,293,15
94,ストームタモ,【第1形態】ストームタモ。古代より伝わるストームの力を宿すモンスター。,6,1,res://assets/models/bases/base_biped.tscn,,,,5,0.98,0.98,0.98,69,34,29,25,29,22,0.81,1.05,2,294,15
95,セラフピクシー,【第1形態】セラフピクシー。古代より伝わるセラフの力を宿すモンスター。,7,2,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,6,1.02,1.02,1.02,72,34,27,20,33,18,0.89,1.14,3,295,15
96,アビスパピー,【第1形態】アビスパピー。古代より伝わるアビスの力を宿すモンスター。,8,0,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,15,0.97,0.97,0.97,62,34,34,22,30,23,1.13,1.19,0,296,15
97,クリムゾンケルベ,【第1形態】クリムゾンケルベ。古代より伝わるクリムゾンの力を宿すモンスター。,1,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,0,0.98,0.98,0.98,69,34,34,21,24,18,0.91,1.12,1,297,15
98,タイダルドラコ,【第1形態】タイダルドラコ。古代より伝わるタイダルの力を宿すモンスター。,2,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,1,0.99,0.99,0.99,73,45,27,18,29,21,1.13,1.03,2,298,15
99,ブルームホーン,【第1形態】ブルームホーン。古代より伝わるブルームの力を宿すモンスター。,3,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,,10,1.01,1.01,1.01,71,39,30,26,27,25,1.11,0.95,3,299,15
100,エレクトラモグ,【第1形態】エレクトラモグ。古代より伝わるエレクトラの力を宿すモンスター。,4,1,res://assets/models/bases/base_biped.tscn,,,,3,1.03,1.03,1.03,64,35,29,21,28,23,0.93,0.99,0,300,15
